timestamp,spindle_id,tension_cN
2026-06-09T06:00:00.000,SP-001,47.96
2026-06-09T06:00:00.100,SP-001,54.01
2026-06-09T06:00:00.200,SP-001,50.99
2026-06-09T06:00:00.300,SP-001,48.56
2026-06-09T06:00:00.400,SP-001,44.42
2026-06-09T06:00:00.500,SP-001,49.72
2026-06-09T06:00:00.600,SP-001,54.51
2026-06-09T06:00:00.700,SP-001,49.48
2026-06-09T06:00:00.800,SP-001,44.61
2026-06-09T06:00:00.900,SP-001,46.77
2026-06-09T06:00:01.000,SP-001,50.71
2026-06-09T06:00:01.100,SP-001,52.60
2026-06-09T06:00:01.200,SP-001,49.77
2026-06-09T06:00:01.300,SP-001,49.47
2026-06-09T06:00:01.400,SP-001,44.81
2026-06-09T06:00:01.500,SP-001,46.54
2026-06-09T06:00:01.600,SP-001,51.70
2026-06-09T06:00:01.700,SP-001,50.69
2026-06-09T06:00:01.800,SP-001,47.35
2026-06-09T06:00:01.900,SP-001,46.75
2026-06-09T06:00:02.000,SP-001,49.32
2026-06-09T06:00:02.100,SP-001,53.05
2026-06-09T06:00:02.200,SP-001,49.60
2026-06-09T06:00:02.300,SP-001,46.93
2026-06-09T06:00:02.400,SP-001,45.09
2026-06-09T06:00:02.500,SP-001,49.43
2026-06-09T06:00:02.600,SP-001,54.03
2026-06-09T06:00:02.700,SP-001,51.93
2026-06-09T06:00:02.800,SP-001,47.88
2026-06-09T06:00:02.900,SP-001,44.50
2026-06-09T06:00:03.000,SP-001,48.00
2026-06-09T06:00:03.100,SP-001,52.05
2026-06-09T06:00:03.200,SP-001,51.21
2026-06-09T06:00:03.300,SP-001,46.60
2026-06-09T06:00:03.400,SP-001,44.94
2026-06-09T06:00:03.500,SP-001,48.37
2026-06-09T06:00:03.600,SP-001,52.74
2026-06-09T06:00:03.700,SP-001,49.15
2026-06-09T06:00:03.800,SP-001,45.92
2026-06-09T06:00:03.900,SP-001,43.99
2026-06-09T06:00:04.000,SP-001,49.97
2026-06-09T06:00:04.100,SP-001,52.37
2026-06-09T06:00:04.200,SP-001,47.35
2026-06-09T06:00:04.300,SP-001,45.57
2026-06-09T06:00:04.400,SP-001,45.13
2026-06-09T06:00:04.500,SP-001,46.01
2026-06-09T06:00:04.600,SP-001,50.65
2026-06-09T06:00:04.700,SP-001,49.64
2026-06-09T06:00:04.800,SP-001,47.48
2026-06-09T06:00:04.900,SP-001,46.53
2026-06-09T06:00:05.000,SP-001,48.29
2026-06-09T06:00:05.100,SP-001,49.97
2026-06-09T06:00:05.200,SP-001,48.54
2026-06-09T06:00:05.300,SP-001,47.39
2026-06-09T06:00:05.400,SP-001,47.04
2026-06-09T06:00:05.500,SP-001,50.34
2026-06-09T06:00:05.600,SP-001,52.17
2026-06-09T06:00:05.700,SP-001,52.02
2026-06-09T06:00:05.800,SP-001,46.45
2026-06-09T06:00:05.900,SP-001,43.83
2026-06-09T06:00:06.000,SP-001,49.87
2026-06-09T06:00:06.100,SP-001,50.74
2026-06-09T06:00:06.200,SP-001,51.24
2026-06-09T06:00:06.300,SP-001,47.42
2026-06-09T06:00:06.400,SP-001,47.10
2026-06-09T06:00:06.500,SP-001,46.05
2026-06-09T06:00:06.600,SP-001,51.60
2026-06-09T06:00:06.700,SP-001,50.16
2026-06-09T06:00:06.800,SP-001,47.84
2026-06-09T06:00:06.900,SP-001,44.29
2026-06-09T06:00:07.000,SP-001,51.98
2026-06-09T06:00:07.100,SP-001,51.26
2026-06-09T06:00:07.200,SP-001,49.05
2026-06-09T06:00:07.300,SP-001,43.73
2026-06-09T06:00:07.400,SP-001,48.57
2026-06-09T06:00:07.500,SP-001,49.14
2026-06-09T06:00:07.600,SP-001,54.35
2026-06-09T06:00:07.700,SP-001,50.11
2026-06-09T06:00:07.800,SP-001,45.81
2026-06-09T06:00:07.900,SP-001,45.27
2026-06-09T06:00:08.000,SP-001,51.20
2026-06-09T06:00:08.100,SP-001,50.61
2026-06-09T06:00:08.200,SP-001,54.30
2026-06-09T06:00:08.300,SP-001,45.30
2026-06-09T06:00:08.400,SP-001,44.66
2026-06-09T06:00:08.500,SP-001,49.40
2026-06-09T06:00:08.600,SP-001,53.30
2026-06-09T06:00:08.700,SP-001,49.76
2026-06-09T06:00:08.800,SP-001,47.57
2026-06-09T06:00:08.900,SP-001,45.38
2026-06-09T06:00:09.000,SP-001,47.93
2026-06-09T06:00:09.100,SP-001,53.38
2026-06-09T06:00:09.200,SP-001,48.39
2026-06-09T06:00:09.300,SP-001,44.75
2026-06-09T06:00:09.400,SP-001,48.26
2026-06-09T06:00:09.500,SP-001,48.57
2026-06-09T06:00:09.600,SP-001,53.49
2026-06-09T06:00:09.700,SP-001,48.69
2026-06-09T06:00:09.800,SP-001,46.72
2026-06-09T06:00:09.900,SP-001,45.29
2026-06-09T06:00:10.000,SP-001,50.91
2026-06-09T06:00:10.100,SP-001,52.52
2026-06-09T06:00:10.200,SP-001,50.47
2026-06-09T06:00:10.300,SP-001,46.02
2026-06-09T06:00:10.400,SP-001,42.50
2026-06-09T06:00:10.500,SP-001,49.95
2026-06-09T06:00:10.600,SP-001,51.38
2026-06-09T06:00:10.700,SP-001,46.89
2026-06-09T06:00:10.800,SP-001,49.48
2026-06-09T06:00:10.900,SP-001,43.51
2026-06-09T06:00:11.000,SP-001,49.25
2026-06-09T06:00:11.100,SP-001,53.00
2026-06-09T06:00:11.200,SP-001,50.28
2026-06-09T06:00:11.300,SP-001,44.79
2026-06-09T06:00:11.400,SP-001,47.01
2026-06-09T06:00:11.500,SP-001,48.74
2026-06-09T06:00:11.600,SP-001,52.68
2026-06-09T06:00:11.700,SP-001,49.88
2026-06-09T06:00:11.800,SP-001,47.85
2026-06-09T06:00:11.900,SP-001,45.70
2026-06-09T06:00:12.000,SP-001,48.04
2026-06-09T06:00:12.100,SP-001,50.75
2026-06-09T06:00:12.200,SP-001,52.14
2026-06-09T06:00:12.300,SP-001,46.63
2026-06-09T06:00:12.400,SP-001,45.98
2026-06-09T06:00:12.500,SP-001,50.60
2026-06-09T06:00:12.600,SP-001,52.27
2026-06-09T06:00:12.700,SP-001,50.11
2026-06-09T06:00:12.800,SP-001,43.06
2026-06-09T06:00:12.900,SP-001,47.09
2026-06-09T06:00:13.000,SP-001,49.50
2026-06-09T06:00:13.100,SP-001,53.84
2026-06-09T06:00:13.200,SP-001,50.27
2026-06-09T06:00:13.300,SP-001,47.61
2026-06-09T06:00:13.400,SP-001,46.29
2026-06-09T06:00:13.500,SP-001,50.24
2026-06-09T06:00:13.600,SP-001,51.07
2026-06-09T06:00:13.700,SP-001,51.75
2026-06-09T06:00:13.800,SP-001,44.02
2026-06-09T06:00:13.900,SP-001,43.25
